Авторы,Идентификатор автора(ов),Название,Год,Название источника,Том,Выпуск ,Статья №,Страница начала,Страница окончания,Количество страниц,Цитирования,DOI,Ссылка,Тип документа,Стадия публикации,Открытый доступ,Источник,EID
"Gelfan, A., Kalugin, A., Krylenko, I., Nasonova, O., Gusev, Y., Kovalev, E.","6602256614;56071131000;16417477100;6604093586;7102224522;15064186700;","Does a successful comprehensive evaluation increase confidence in a hydrological model intended for climate impact assessment?",2020,"Climatic Change","163","3",,"1165","1185",,4,"10.1007/s10584-020-02930-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096856714&doi=10.1007%2fs10584-020-02930-z&partnerID=40&md5=5b629d024c00cfc3165868f3c6ee406d",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85096856714
"Gel’fan, A.N., Kalugin, A.S., Krylenko, I.N., Nasonova, O.N., Gusev, E.M., Kovalev, E.E.","6602256614;56071131000;16417477100;6604093586;7102224522;15064186700;","Testing a Hydrological Model to Evaluate Climate Change Impact on River Runoff",2020,"Russian Meteorology and Hydrology","45","5",,"353","359",,2,"10.3103/S1068373920050064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088662732&doi=10.3103%2fS1068373920050064&partnerID=40&md5=070cac9e312f88da8b365c3bcc8a9497",Article,"Final","",Scopus,2-s2.0-85088662732
"Blöschl, G., Bierkens, M.F.P., Chambel, A., Cudennec, C., Destouni, G., Fiori, A., Kirchner, J.W., McDonnell, J.J., Savenije, H.H.G., Sivapalan, M., Stumpp, C., Toth, E., Volpi, E., Carr, G., Lupton, C., Salinas, J., Széles, B., Viglione, A., Aksoy, H., Allen, S.T., Amin, A., Andréassian, V., Arheimer, B., Aryal, S.K., Baker, V., Bardsley, E., Barendrecht, M.H., Bartosova, A., Batelaan, O., Berghuijs, W.R., Beven, K., Blume, T., Bogaard, T., Borges de Amorim, P., Böttcher, M.E., Boulet, G., Breinl, K., Brilly, M., Brocca, L., Buytaert, W., Castellarin, A., Castelletti, A., Chen, X., Chen, Y., Chen, Y., Chifflard, P., Claps, P., Clark, M.P., Collins, A.L., Croke, B., Dathe, A., David, P.C., de Barros, F.P.J., de Rooij, G., Di Baldassarre, G., Driscoll, J.M., Duethmann, D., Dwivedi, R., Eris, E., Farmer, W.H., Feiccabrino, J., Ferguson, G., Ferrari, E., Ferraris, S., Fersch, B., Finger, D., Foglia, L., Fowler, K., Gartsman, B., Gascoin, S., Gaume, E., Gelfan, A., Geris, J., Gharari, S., Gleeson, T., Glendell, M., Gonzalez Bevacqua, A., González-Dugo, M.P., Grimaldi, S., Gupta, A.B., Guse, B., Han, D., Hannah, D., Harpold, A., Haun, S., Heal, K., Helfricht, K., Herrnegger, M., Hipsey, M., Hlaváčiková, H., Hohmann, C., Holko, L., Hopkinson, C., Hrachowitz, M., Illangasekare, T.H., Inam, A., Innocente, C., Istanbulluoglu, E., Jarihani, B., Kalantari, Z., Kalvans, A., Khanal, S., Khatami, S., Kiesel, J., Kirkby, M., Knoben, W., Kochanek, K., Kohnová, S., Kolechkina, A., Krause, S., Kreamer, D., Kreibich, H., Kunstmann, H., Lange, H., Liberato, M.L.R., Lindquist, E., Link, T., Liu, J., Loucks, D.P., Luce, C., Mahé, G., Makarieva, O., Malard, J., Mashtayeva, S., Maskey, S., Mas-Pla, J., Mavrova-Guirguinova, M., Mazzoleni, M., Mernild, S., Misstear, B.D., Montanari, A., Müller-Thomy, H., Nabizadeh, A., Nardi, F., Neale, C., Nesterova, N., Nurtaev, B., Odongo, V.O., Panda, S., Pande, S., Pang, Z., Papacharalampous, G., Perrin, C., Pfister, L., Pimentel, R., Polo, M.J., Post, D., Prieto Sierra, C., Ramos, M.-H., Renner, M., Reynolds, J.E., Ridolfi, E., Rigon, R., Riva, M., Robertson, D.E., Rosso, R., Roy, T., Sá, J.H.M., Salvadori, G., Sandells, M., Schaefli, B., Schumann, A., Scolobig, A., Seibert, J., Servat, E., Shafiei, M., Sharma, A., Sidibe, M., Sidle, R.C., Skaugen, T., Smith, H., Spiessl, S.M., Stein, L., Steinsland, I., Strasser, U., Su, B., Szolgay, J., Tarboton, D., Tauro, F., Thirel, G., Tian, F., Tong, R., Tussupova, K., Tyralis, H., Uijlenhoet, R., van Beek, R., van der Ent, R.J., van der Ploeg, M., Van Loon, A.F., van Meerveld, I., van Nooijen, R., van Oel, P.R., Vidal, J.-P., von Freyberg, J., Vorogushyn, S., Wachniew, P., Wade, A.J., Ward, P., Westerberg, I.K., White, C., Wood, E.F., Woods, R., Xu, Z., Yilmaz, K.K., Zhang, Y.","7004862771;7004413991;36780613400;6603925381;7004302008;57200342073;7201671604;7101838542;7003427413;56223343300;12806368800;7103175905;8221993300;36639307600;57209714896;45261414900;56344821800;25824453700;57189114243;56097054700;57209552693;6602983831;6701506575;36778732400;26643014200;57189276240;57202927443;6603371464;6701427325;56237051100;7102404194;22133315100;6601952412;44061063900;7101610685;6603909149;55793658600;55897266500;23767199100;6506727482;6603944928;6504550849;57056609200;56737387000;8973275200;8654066700;6602147975;35453194100;7403186281;6701639025;9133537800;57208015485;13408651800;6603547335;14120990400;57193902712;26421213500;57203780289;26537404200;55316885100;26025875700;9333935800;7202281180;7004630799;36835204100;7003771163;25632120700;57164455300;24438012800;9740039900;55902903100;6602256614;56030425600;37115425300;14055919000;55893546400;57209714794;57193414657;7005688502;55725545000;35223277300;55480762900;7006309552;6507576319;49661331400;6701649697;55535198300;24481265200;6505806236;55823429100;57200016189;6506939784;7006813492;8682392100;7007074182;56421840900;57209716114;6602281039;57193091511;21742320500;24402487300;57200131988;56740552100;26039204500;7007139821;57203268290;36852519400;9132502900;25930900500;36971236700;6602748442;8146124100;6603129131;55655129900;18437535400;7004576617;7102197206;57200122300;35580102500;56266354300;6701504447;57216983727;56373803500;56835758400;6603388008;6602640541;6507698899;56069413500;57251661400;55941042000;55765625400;57210016737;57203911015;15045270000;7004010954;57062298500;57063086600;55660665700;57209719592;16068916900;8655065700;57193572430;55566085100;56235203600;55796340500;12140930400;7103012572;57204790998;9638664600;26422603100;57194280938;56962709900;7003514410;10044837400;57198996236;56145768000;57220642595;57194018884;7004085162;56115779300;8686619500;7004465027;26633379400;7102368741;7003648122;56348783700;57190818469;57201581765;7006885391;56584291200;24077561700;6507017014;57195357850;6506969400;6603358668;57208239109;23398364000;7003457258;37006086500;26533302300;7103096618;57209716880;57201650640;36160730400;6602321641;8628579900;36497581000;18635801500;37029164400;57191912050;36599453500;25029273500;23986733700;57210192774;14061506600;11239133600;25822835700;55939005100;35099856500;55115119200;35495958000;7401705890;55588955400;56568516600;9740805800;","Twenty-three unsolved problems in hydrology (UPH)–a community perspective",2019,"Hydrological Sciences Journal","64","10",,"1141","1158",,175,"10.1080/02626667.2019.1620507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068525773&doi=10.1080%2f02626667.2019.1620507&partnerID=40&md5=c5dff1f8aeff17a0dd4986fe9b76c918",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85068525773
"Sazonov, A.A., Krylenko, I.N., Amerbaev, A.N., Zavyalova, E.V., Semenova, N.K., Gelfan, A.N., Frolova, N.L.","57062083600;16417477100;57209607513;57209608716;57209598668;6602256614;15730547400;","Modeling the scenarios of catastrophic flood on the river of the Northern",2019,"IOP Conference Series: Earth and Environmental Science","263","1","012056","","",,,"10.1088/1755-1315/263/1/012056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068235915&doi=10.1088%2f1755-1315%2f263%2f1%2f012056&partnerID=40&md5=c992a3a3ae3534c5b87d3e5f93ee8c78",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85068235915
"Gelfan, A.N., Millionshchikova, T.D.","6602256614;57204956636;","Validation of a Hydrological Model Intended for Impact Study: Problem Statement and Solution Example for Selenga River Basin",2018,"Water Resources","45",,,"90","101",,13,"10.1134/S0097807818050354","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058552278&doi=10.1134%2fS0097807818050354&partnerID=40&md5=7aca272ff17fda92bf606f7df1ab1fc9",Article,"Final","",Scopus,2-s2.0-85058552278
"Gelfan, A.N., Kalugin, A.S., Motovilov, Y.G.","6602256614;56071131000;6603570450;","Assessing Amur Water Regime Variations in the XXI Century with Two Methods Used to Specify Climate Projections in River Runoff Formation Model",2018,"Water Resources","45","3",,"307","317",,3,"10.1134/S0097807818030065","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046701380&doi=10.1134%2fS0097807818030065&partnerID=40&md5=7bdca7523bb16f32b44a471b8c400712",Article,"Final","",Scopus,2-s2.0-85046701380
"Gelfan, A., Moreydo, V., Motovilov, Y., Solomatine, D.P.","6602256614;56681224900;6603570450;6601958160;","Long-term ensemble forecast of snowmelt inflow into the Cheboksary Reservoir under two different weather scenarios",2018,"Hydrology and Earth System Sciences","22","4",,"2073","2089",,2,"10.5194/hess-22-2073-2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045017524&doi=10.5194%2fhess-22-2073-2018&partnerID=40&md5=1581506a19ceffde3cbd66a3e0c494a8",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85045017524
"Krysanova, V., Donnelly, C., Gelfan, A., Gerten, D., Arheimer, B., Hattermann, F., Kundzewicz, Z.W.","56035195600;56227794400;6602256614;6602972127;6701506575;14039234900;7005950855;","How the performance of hydrological models relates to credibility of projections under climate change",2018,"Hydrological Sciences Journal","63","5",,"696","720",,59,"10.1080/02626667.2018.1446214","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044297488&doi=10.1080%2f02626667.2018.1446214&partnerID=40&md5=ecf96a75abebf2901b7caca1abf0569b",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85044297488
"Bugaets, A., Gartsman, B., Gelfan, A., Motovilov, Y., Sokolov, O., Gonchukov, L., Kalugin, A., Moreido, V., Suchilina, Z., Fingert, E.","6507642073;24438012800;6602256614;6603570450;56165552300;57200211567;56071131000;56681224900;57200210221;57200213576;","The integrated system of hydrological forecasting in the Ussuri River basin based on the ECOMAG model",2018,"Geosciences (Switzerland)","8","1","5","","",,2,"10.3390/geosciences8010005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040228066&doi=10.3390%2fgeosciences8010005&partnerID=40&md5=98f947f33ced235baec7b5e424b5cd8f",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85040228066
"Krysanova, V., Vetter, T., Eisner, S., Huang, S., Pechlivanidis, I., Strauch, M., Gelfan, A., Kumar, R., Aich, V., Arheimer, B., Chamorro, A., Van Griensven, A., Kundu, D., Lobanova, A., Mishra, V., Plötner, S., Reinhardt, J., Seidou, O., Wang, X., Wortmann, M., Zeng, X., Hattermann, F.F.","56035195600;24385808600;37046987400;23990673400;35786333200;37031949900;6602256614;57196190454;54888991900;6701506575;57190949258;6602848973;57190075513;56765617500;55417035000;57191485452;55489762700;15822958100;56449403000;56039826600;36343158700;14039234900;","Intercomparison of regional-scale hydrological models and climate change impacts projected for 12 large river basins worldwide - A synthesis",2017,"Environmental Research Letters","12","10","105002","","",,61,"10.1088/1748-9326/aa8359","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032860419&doi=10.1088%2f1748-9326%2faa8359&partnerID=40&md5=9d203f9a4823c6ff3d5d3b3676bcb463",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85032860419
