Авторы,Идентификатор автора(ов),Название,Год,Название источника,Том,Выпуск ,Статья №,Страница начала,Страница окончания,Количество страниц,Цитирования,DOI,Ссылка,Организации,Авторы организаций,Адрес для корреспонденции,Редакторы,Издатель,ISSN,ISBN,CODEN,Идентификатор PubMed,Язык оригинального документа,Сокращенное название источника,Тип документа,Стадия публикации,Open Access (открытый доступ),Источник,EID
"Farrag M., Perez G.C., Solomatine D.","57223291124;57223280180;6601958160;","Spatio‐temporal hydrological model structure and parametrization analysis",2021,"Journal of Marine Science and Engineering","9","5", 467,"","",,,"10.3390/jmse9050467","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105428017&doi=10.3390%2fjmse9050467&partnerID=40&md5=33b74f88c23607b54aa60654b4e67a12","GFZ German Research Centre for Geosciences, Hydrology Section, Telegrafenberg, Potsdam, 14473, Germany; IHE Delft Institute for Water Education, P.O. Box 3015, Delft, 2601 DA, Netherlands; Water Resources Section, Delft University of Technology, Mekelweg 2, Delft, 2628 CD, Netherlands; Water Problems Institute of RAS, Gubkina 3, Moscow, 119333, Russian Federation","Farrag, M., GFZ German Research Centre for Geosciences, Hydrology Section, Telegrafenberg, Potsdam, 14473, Germany; Perez, G.C., IHE Delft Institute for Water Education, P.O. Box 3015, Delft, 2601 DA, Netherlands; Solomatine, D., IHE Delft Institute for Water Education, P.O. Box 3015, Delft, 2601 DA, Netherlands, Water Resources Section, Delft University of Technology, Mekelweg 2, Delft, 2628 CD, Netherlands, Water Problems Institute of RAS, Gubkina 3, Moscow, 119333, Russian Federation","Farrag, M.; GFZ German Research Centre for Geosciences, Telegrafenberg, Germany; эл. почта: mostafa.farrag@gfz‐potsdam.de
Solomatine, D.; IHE Delft Institute for Water Education, P.O. Box 3015, Netherlands; эл. почта: d.p.solomatine@tudelft.nl",,"MDPI AG",20771312,,,,"English","J. Mar. Sci. Eng.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85105428017
"Hagen J.S., Leblois E., Lawrence D., Solomatine D., Sorteberg A.","57211534362;6603384893;7402207382;6601958160;9249236100;","Identifying major drivers of daily streamflow from large-scale atmospheric circulation with machine learning",2021,"Journal of Hydrology","596",, 126086,"","",,,"10.1016/j.jhydrol.2021.126086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105317239&doi=10.1016%2fj.jhydrol.2021.126086&partnerID=40&md5=1d9ac57e66e7b33d437ca0bfec131cf2","University of Bergen, Geophysical Institute, Allegaten 70, Bergen, 5007, Norway; University of Bergen, Bjerknes Centre for Climate Research, Jahnebakken 5, Bergen, 5007, Norway; French National Institute for Agriculture, Food, and Environment (INRAE), Riverly-Lyon Research Unit, 5 rue de la Doua, Villeurbanne, 69625, France; Norwegian Water Resources and Energy Directorate (NVE), Middelthuns gate 29, Oslo, 0368, Norway; IHE Delft Institute for Water Education, Westvest 7, AX Delft, 2611, Netherlands","Hagen, J.S., University of Bergen, Geophysical Institute, Allegaten 70, Bergen, 5007, Norway, University of Bergen, Bjerknes Centre for Climate Research, Jahnebakken 5, Bergen, 5007, Norway; Leblois, E., French National Institute for Agriculture, Food, and Environment (INRAE), Riverly-Lyon Research Unit, 5 rue de la Doua, Villeurbanne, 69625, France; Lawrence, D., Norwegian Water Resources and Energy Directorate (NVE), Middelthuns gate 29, Oslo, 0368, Norway; Solomatine, D., IHE Delft Institute for Water Education, Westvest 7, AX Delft, 2611, Netherlands; Sorteberg, A., University of Bergen, Geophysical Institute, Allegaten 70, Bergen, 5007, Norway, University of Bergen, Bjerknes Centre for Climate Research, Jahnebakken 5, Bergen, 5007, Norway","Hagen, J.S.; Geophysical Institute, Jahnebakken 5, Norway; эл. почта: jenny.hagen@uib.no",,"Elsevier B.V.",00221694,,JHYDA,,"English","J. Hydrol.",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85105317239
"Mohammed S.A., Solomatine D.P., Hrachowitz M., Hamouda M.A.","57220672543;6601958160;8682392100;55904914500;","Impact of dataset size on the signature-based calibration of a hydrological model",2021,"Water (Switzerland)","13","7", 970,"","",,,"10.3390/w13070970","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104095764&doi=10.3390%2fw13070970&partnerID=40&md5=fef8e06a919ae5ea093ee2bf8ca4e690","Department of Civil and Environmental Engineering, United Arab Emirates University, Al Ain P.O. Box 15551, United Arab Emirates; IHE-Delft, Institute for Water Education, P.O. Box 3015, Delft, 2601 DA, Netherlands; Faculty of Civil Engineering and Applied Geosciences, Delft University of Technology, P.O. Box 5048, Delft, 2628 CN, Netherlands; Water Problems Institute of RAS (Russian Academy of Sciences), Moscow, 119991, Russian Federation; National Water and Energy Center, United Arab Emirates University, Al Ain P.O. Box 15551, United Arab Emirates","Mohammed, S.A., Department of Civil and Environmental Engineering, United Arab Emirates University, Al Ain P.O. Box 15551, United Arab Emirates, IHE-Delft, Institute for Water Education, P.O. Box 3015, Delft, 2601 DA, Netherlands; Solomatine, D.P., IHE-Delft, Institute for Water Education, P.O. Box 3015, Delft, 2601 DA, Netherlands, Faculty of Civil Engineering and Applied Geosciences, Delft University of Technology, P.O. Box 5048, Delft, 2628 CN, Netherlands, Water Problems Institute of RAS (Russian Academy of Sciences), Moscow, 119991, Russian Federation; Hrachowitz, M., Faculty of Civil Engineering and Applied Geosciences, Delft University of Technology, P.O. Box 5048, Delft, 2628 CN, Netherlands; Hamouda, M.A., Department of Civil and Environmental Engineering, United Arab Emirates University, Al Ain P.O. Box 15551, United Arab Emirates, National Water and Energy Center, United Arab Emirates University, Al Ain P.O. Box 15551, United Arab Emirates","Hamouda, M.A.; Department of Civil and Environmental Engineering, Al Ain P.O. Box 15551, United Arab Emirates; эл. почта: m.hamouda@uaeu.ac.ae",,"MDPI AG",20734441,,,,"English","Water",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85104095764
"Mazzoleni M., Alfonso L., Solomatine D.P.","56069413500;35796956100;6601958160;","Exploring Assimilation of Crowdsourcing Observations into Flood Models",2021,"Handbook of Environmental Chemistry","102",,,"209","234",,,"10.1007/698_2019_403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097009445&doi=10.1007%2f698_2019_403&partnerID=40&md5=03970a88ea2a02f5c5b26fdf0ec89df0","Department of Earth Sciences, Uppsala University, Uppsala, Sweden; Centre of Natural Hazards and Disaster Science (CNDS), Uppsala, Sweden; IHE Delft Institute for Water Education, Delft, Netherlands; Delft University of Technology, Delft, Netherlands","Mazzoleni, M., Department of Earth Sciences, Uppsala University, Uppsala, Sweden, Centre of Natural Hazards and Disaster Science (CNDS), Uppsala, Sweden; Alfonso, L., IHE Delft Institute for Water Education, Delft, Netherlands; Solomatine, D.P., IHE Delft Institute for Water Education, Delft, Netherlands, Delft University of Technology, Delft, Netherlands","Mazzoleni, M.; Centre of Natural Hazards and Disaster Science (CNDS)Sweden; эл. почта: maurizio.mazzoleni@geo.uu.se",,"Springer Science and Business Media Deutschland GmbH",1867979X,,,,"English","Handb. Environ. Chem.",Book Chapter,"Final","",Scopus,2-s2.0-85097009445
"Hu Y.M., Liang Z.M., Solomatine D.P., Wang H.M., Liu T.","57223049862;7402177894;6601958160;57223046975;57189852312;","Assessing the impact of precipitation change on design annual runoff in the headwater region of Yellow River, China",2021,"Journal of Environmental Informatics","37","2",,"122","129",,,"10.3808/jei.201900421","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104616662&doi=10.3808%2fjei.201900421&partnerID=40&md5=ddb9da7e1d83a7da327b836108cc8745","College of Hydrology and Water Resources, Hohai University, Nanjing, 210098, China; Research Institute of Management Science, Business School, Hohai University, Nanjing, 211100, China; UNESCO-IHE Institute for Water Education, Delft, 2601 DA, Netherlands; Water Resources Section, Delft University of Technology, Delft, 2600 AA, Netherlands","Hu, Y.M., College of Hydrology and Water Resources, Hohai University, Nanjing, 210098, China, Research Institute of Management Science, Business School, Hohai University, Nanjing, 211100, China; Liang, Z.M., College of Hydrology and Water Resources, Hohai University, Nanjing, 210098, China; Solomatine, D.P., UNESCO-IHE Institute for Water Education, Delft, 2601 DA, Netherlands, Water Resources Section, Delft University of Technology, Delft, 2600 AA, Netherlands; Wang, H.M., Research Institute of Management Science, Business School, Hohai University, Nanjing, 211100, China; Liu, T., College of Hydrology and Water Resources, Hohai University, Nanjing, 210098, China","Liang, Z.M.; College of Hydrology and Water Resources, China; эл. почта: zmliang@hhu.edu.cn",,"International Society for Environmental Information Sciences",17262135,,,,"English","J. Environ. Inf.",Article,"Final","",Scopus,2-s2.0-85104616662
"Valles J., Corzo G., Solomatine D.","57220210004;16416535700;6601958160;","Impact of the mean areal rainfall calculation on a modular rainfall-runoff model",2020,"Journal of Marine Science and Engineering","8","12", 980,"1","17",,,"10.3390/jmse8120980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097290449&doi=10.3390%2fjmse8120980&partnerID=40&md5=c9b1cccfeb771a5bf160af1d056d0dcf","Department of Hydroinformatics and Socio-Technical Innovation, IHE Delft, Institute for Water Education, Delft, 2611 AX, Netherlands","Valles, J., Department of Hydroinformatics and Socio-Technical Innovation, IHE Delft, Institute for Water Education, Delft, 2611 AX, Netherlands; Corzo, G., Department of Hydroinformatics and Socio-Technical Innovation, IHE Delft, Institute for Water Education, Delft, 2611 AX, Netherlands; Solomatine, D., Department of Hydroinformatics and Socio-Technical Innovation, IHE Delft, Institute for Water Education, Delft, 2611 AX, Netherlands","Corzo, G.; Department of Hydroinformatics and Socio-Technical Innovation, Netherlands; эл. почта: g.corzo@un-ihe.org",,"MDPI AG",20771312,,,,"English","J. Mar. Sci. Eng.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85097290449
"Laverde-Barajas M., Corzo Perez G.A., Chishtie F., Poortinga A., Uijlenhoet R., Solomatine D.P.","56605026200;57216568750;57202261421;57220296395;6602321641;6601958160;","Decomposing satellite-based rainfall errors in flood estimation: Hydrological responses using a spatiotemporal object-based verification method",2020,"Journal of Hydrology","591",, 125554,"","",,3,"10.1016/j.jhydrol.2020.125554","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092094049&doi=10.1016%2fj.jhydrol.2020.125554&partnerID=40&md5=ace1f6a8b6dd9c922985ad47f249baf1","IHE-Delft Institute for Water Education, Westvest 7, Delft, AX 2611, Netherlands; Delft University of Technology, CN Delft, 2628, Netherlands; Spatial Informatics Group, LLC, 2529, Yolanda Ct., Pleasanton, CA  94566, United States; SERVIR-Mekong, SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Bangkok, 10400, Thailand; Wageningen University, Nieuwe Kanaal 11, PA Wageningen, 6709, Netherlands","Laverde-Barajas, M., IHE-Delft Institute for Water Education, Westvest 7, Delft, AX 2611, Netherlands, Delft University of Technology, CN Delft, 2628, Netherlands; Corzo Perez, G.A., IHE-Delft Institute for Water Education, Westvest 7, Delft, AX 2611, Netherlands; Chishtie, F., Spatial Informatics Group, LLC, 2529, Yolanda Ct., Pleasanton, CA  94566, United States, SERVIR-Mekong, SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Bangkok, 10400, Thailand; Poortinga, A., Spatial Informatics Group, LLC, 2529, Yolanda Ct., Pleasanton, CA  94566, United States, SERVIR-Mekong, SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Bangkok, 10400, Thailand; Uijlenhoet, R., Wageningen University, Nieuwe Kanaal 11, PA Wageningen, 6709, Netherlands; Solomatine, D.P., IHE-Delft Institute for Water Education, Westvest 7, Delft, AX 2611, Netherlands, Delft University of Technology, CN Delft, 2628, Netherlands","Laverde-Barajas, M.; IHE-Delft Institute for Water Education, Westvest 7, Netherlands; эл. почта: m.laverde@un-ihe.org",,"Elsevier B.V.",00221694,,JHYDA,,"English","J. Hydrol.",Article,"Final","",Scopus,2-s2.0-85092094049
"Laverde-Barajas M., Corzo G.A., Poortinga A., Chishtie F., Meechaiya C., Jayasinghe S., Towashiraporn P., Markert A., Saah D., Son L.H., Khem S., Boonya-Aroonnet S., Chaowiwat W., Uijlenhoet R., Solomatine D.P.","56605026200;16416535700;57220296395;57202261421;57193809880;57194707482;36975402500;57208123780;16203966600;57213239861;23994206400;6506594479;55820168700;6602321641;6601958160;","St-corabico: A spatiotemporal object-based bias correction method for storm prediction detected by satellite",2020,"Remote Sensing","12","21", 3538,"1","19",,1,"10.3390/rs12213538","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094646183&doi=10.3390%2frs12213538&partnerID=40&md5=90a7c37cc925ec57b7186c4c7ff2de48","IHE-Delft Institute for Water Education, Westvest 7, Delft, 2611 AX, Netherlands; Department of Water Management, Faculty of Civil Engineering and Geosciences, Delft University of Technology, Delft, 2628 CN, Netherlands; SERVIR-Mekong, SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Bangkok, 10400, Thailand; Asian Disaster Preparedness Center, SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Bangkok, 10400, Thailand; Spatial Informatics Group, LLC, 2529 Yolanda Ct., Pleasanton, CA  94566, United States; Earth System Science Center, The University of Alabama in Huntsville, 320 Sparkman Drive, Huntsville, AL  35805, United States; SERVIR Science Coordination Office, NASA Marshall Space Flight Center, 320 Sparkman Drive, Huntsville, AL  35805, United States; Geospatial Analysis Lab, University of San Francisco, 2130 Fulton Street, San Francisco, CA  94117, United States; Mekong River Commission, 576 National Road No. 2, Sangkat Chak Angre Krom, Khan Menachey, Phnom Penh, 12353, Cambodia; Hydroinformatic Institute, 901 Ngam Wong Wan Road, Lat Yao, Chatuchak, Bangkok, 10900, Thailand; Hydrology and Quantitative Water Management Group, Department of Environmental Sciences, Wageningen University, Wageningen, 6700 AA, Netherlands; SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Bangkok, 10400, Thailand","Laverde-Barajas, M., IHE-Delft Institute for Water Education, Westvest 7, Delft, 2611 AX, Netherlands, Department of Water Management, Faculty of Civil Engineering and Geosciences, Delft University of Technology, Delft, 2628 CN, Netherlands, SERVIR-Mekong, SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Bangkok, 10400, Thailand, Asian Disaster Preparedness Center, SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Bangkok, 10400, Thailand, SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Bangkok, 10400, Thailand; Corzo, G.A., IHE-Delft Institute for Water Education, Westvest 7, Delft, 2611 AX, Netherlands; Poortinga, A., SERVIR-Mekong, SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Bangkok, 10400, Thailand, Spatial Informatics Group, LLC, 2529 Yolanda Ct., Pleasanton, CA  94566, United States; Chishtie, F., SERVIR-Mekong, SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Bangkok, 10400, Thailand, Spatial Informatics Group, LLC, 2529 Yolanda Ct., Pleasanton, CA  94566, United States; Meechaiya, C., SERVIR-Mekong, SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Bangkok, 10400, Thailand, Asian Disaster Preparedness Center, SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Bangkok, 10400, Thailand; Jayasinghe, S., SERVIR-Mekong, SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Bangkok, 10400, Thailand, Asian Disaster Preparedness Center, SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Bangkok, 10400, Thailand; Towashiraporn, P., SERVIR-Mekong, SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Bangkok, 10400, Thailand, Asian Disaster Preparedness Center, SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Bangkok, 10400, Thailand; Markert, A., Earth System Science Center, The University of Alabama in Huntsville, 320 Sparkman Drive, Huntsville, AL  35805, United States, SERVIR Science Coordination Office, NASA Marshall Space Flight Center, 320 Sparkman Drive, Huntsville, AL  35805, United States; Saah, D., SERVIR-Mekong, SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Bangkok, 10400, Thailand, Asian Disaster Preparedness Center, SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Bangkok, 10400, Thailand, Geospatial Analysis Lab, University of San Francisco, 2130 Fulton Street, San Francisco, CA  94117, United States; Son, L.H., Mekong River Commission, 576 National Road No. 2, Sangkat Chak Angre Krom, Khan Menachey, Phnom Penh, 12353, Cambodia; Khem, S., Mekong River Commission, 576 National Road No. 2, Sangkat Chak Angre Krom, Khan Menachey, Phnom Penh, 12353, Cambodia; Boonya-Aroonnet, S., Hydroinformatic Institute, 901 Ngam Wong Wan Road, Lat Yao, Chatuchak, Bangkok, 10900, Thailand; Chaowiwat, W., Hydroinformatic Institute, 901 Ngam Wong Wan Road, Lat Yao, Chatuchak, Bangkok, 10900, Thailand; Uijlenhoet, R., Hydrology and Quantitative Water Management Group, Department of Environmental Sciences, Wageningen University, Wageningen, 6700 AA, Netherlands; Solomatine, D.P., IHE-Delft Institute for Water Education, Westvest 7, Delft, 2611 AX, Netherlands, Department of Water Management, Faculty of Civil Engineering and Geosciences, Delft University of Technology, Delft, 2628 CN, Netherlands","Laverde-Barajas, M.; IHE-Delft Institute for Water Education, Westvest 7, Netherlands; эл. почта: m.laverde@un-ihe.org
Laverde-Barajas, M.; Department of Water Management, Netherlands; эл. почта: m.laverde@un-ihe.org
Laverde-Barajas, M.; SERVIR-Mekong, SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Thailand; эл. почта: m.laverde@un-ihe.org
Laverde-Barajas, M.; Asian Disaster Preparedness Center, SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Thailand; эл. почта: m.laverde@un-ihe.org
Laverde-Barajas, M.SM Tower, 24th Floor, 979/69 Paholyothin Road, Samsen Nai Phayathai, Thailand; эл. почта: m.laverde@un-ihe.org",,"MDPI AG",20724292,,,,"English","Remote Sens.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85094646183
"Jiang J., Tang S., Han D., Fu G., Solomatine D., Zheng Y.","35620352200;57218227100;55480762900;55499297600;6601958160;56409084200;","A comprehensive review on the design and optimization of surface water quality monitoring networks",2020,"Environmental Modelling and Software","132",, 104792,"","",,4,"10.1016/j.envsoft.2020.104792","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088378096&doi=10.1016%2fj.envsoft.2020.104792&partnerID=40&md5=be71c538f5060cabf282d5feada5e8fe","Shenzhen Municipal Engineering Lab of Environmental IoT Technologies, School of Environmental Science and Engineering, Southern University of Science and Technology, Shenzhen, 518055, China; School of Environment, Harbin Institute of Technology, Harbin, 150090, China; Department of Civil Engineering, University of Bristol, Bristol, BS8 1TR, United Kingdom; College of Engineering, Mathematics and Physical Sciences, University of Exeter, Exeter, EX4 4QF, United Kingdom; Department of Integrated Water Systems and Governance, IHE Delft Institute for Water Education, Delft, 2611, Netherlands","Jiang, J., Shenzhen Municipal Engineering Lab of Environmental IoT Technologies, School of Environmental Science and Engineering, Southern University of Science and Technology, Shenzhen, 518055, China; Tang, S., Shenzhen Municipal Engineering Lab of Environmental IoT Technologies, School of Environmental Science and Engineering, Southern University of Science and Technology, Shenzhen, 518055, China, School of Environment, Harbin Institute of Technology, Harbin, 150090, China; Han, D., Department of Civil Engineering, University of Bristol, Bristol, BS8 1TR, United Kingdom; Fu, G., College of Engineering, Mathematics and Physical Sciences, University of Exeter, Exeter, EX4 4QF, United Kingdom; Solomatine, D., Department of Integrated Water Systems and Governance, IHE Delft Institute for Water Education, Delft, 2611, Netherlands; Zheng, Y., Shenzhen Municipal Engineering Lab of Environmental IoT Technologies, School of Environmental Science and Engineering, Southern University of Science and Technology, Shenzhen, 518055, China","Jiang, J.; Shenzhen Municipal Engineering Lab of Environmental IoT Technologies, China; эл. почта: jiangjp@sustech.edu.cn
Zheng, Y.; Shenzhen Municipal Engineering Lab of Environmental IoT Technologies, China; эл. почта: zhengy@sustech.edu.cn",,"Elsevier Ltd",13648152,,EMSOF,,"English","Environ. Model. Softw.",Review,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85088378096
"Hristopulos D.T., Varouchakis E.A., Skøien J.O., Solomatine D.","35611179000;24400479200;8144564700;6601958160;","Space–time models for hydrological and environmental applications",2020,"Stochastic Environmental Research and Risk Assessment","34","9",,"1285","1287",,,"10.1007/s00477-020-01830-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087441798&doi=10.1007%2fs00477-020-01830-z&partnerID=40&md5=c5303f731da83e5fb90383c8832fee3c","Geostatistics Laboratory, School of Mineral Resources Engineering, Technical University of Crete, Chania, 73100, Greece; School of Environmental Engineering, Technical University of Crete, Chania, 73100, Greece; Joint Research Centre, European Commission, 21020 Ispra, Italy; Chair Group of Hydroinformatics, Department of Integrated Water Systems and Governance, IHE Delft Institute for Water Education, Westvest 7, Delft, 2611 AX, Netherlands","Hristopulos, D.T., Geostatistics Laboratory, School of Mineral Resources Engineering, Technical University of Crete, Chania, 73100, Greece; Varouchakis, E.A., School of Environmental Engineering, Technical University of Crete, Chania, 73100, Greece; Skøien, J.O., Joint Research Centre, European Commission, 21020 Ispra, Italy; Solomatine, D., Chair Group of Hydroinformatics, Department of Integrated Water Systems and Governance, IHE Delft Institute for Water Education, Westvest 7, Delft, 2611 AX, Netherlands","Hristopulos, D.T.; Geostatistics Laboratory, Greece; эл. почта: dionisi@mred.tuc.gr",,"Springer",14363240,,,,"English","Stoch. Environ. Res. Risk Assess.",Editorial,"Final","All Open Access, Bronze",Scopus,2-s2.0-85087441798
